system,structure,rig_1,rig_2,rig_3,structure_type,system_id,structure_id,tax,structure_type_id
TVN-FM,TVN-FM - All Comp and Capital,Standup L-Set Advanced Component Manufacturing Efficiency I,Standup L-Set Basic Capital Component Manufacturing Efficiency I,Standup L-Set Capital Ship Manufacturing Efficiency I,Azbel,30000226,1038468942616,0.0005,35826
VORM-W,VORM-W - 2GTHR Bigger Things,Standup M-Set Advanced Large Ship Manufacturing Material Efficiency I,Standup M-Set Basic Large Ship Manufacturing Material Efficiency I,,Raitaru,30000322,1037450000000,0.0005,35825
VORM-W,VORM-W - 2GTHR Components,Standup M-Set Advanced Component Manufacturing Material Efficiency II,Standup M-Set Advanced Component Manufacturing Time Efficiency I,,Raitaru,30000322,1035810000000,0.0005,35825
VORM-W,VORM-W - 2GTHR Cruisers,Standup M-Set Advanced Medium Ship Manufacturing Material Efficiency II,Standup M-Set Advanced Medium Ship Manufacturing Time Efficiency I,Standup M-Set Basic Medium Ship Manufacturing Material Efficiency I,Raitaru,30000322,1035810000000,0.0005,35825
VORM-W,VORM-W - 2GTHR Drones and Fighters,Standup M-Set Drone and Fighter Manufacturing Material Efficiency I,Standup M-Set Drone and Fighter Manufacturing Time Efficiency I,,Raitaru,30000322,1035810000000,0.0005,35825
VORM-W,VORM-W - 2GTHR Frigates,Standup M-Set Advanced Small Ship Manufacturing Material Efficiency I,Standup M-Set Advanced Small Ship Manufacturing Time Efficiency I,Standup M-Set Basic Small Ship Manufacturing Time Efficiency I,Raitaru,30000322,1035810000000,0.0005,35825
VORM-W,VORM-W - 2GTHR Modules,Standup M-Set Equipment Manufacturing Material Efficiency I,Standup M-Set Equipment Manufacturing Time Efficiency I,,Raitaru,30000322,1035810000000,0.0005,35825
VORM-W,VORM-W - 2GTHR  Photocopier,Standup M-Set Blueprint Copy Accelerator I,Standup M-Set Invention Accelerator I,,Raitaru,30000322,1035830000000,0.0005,35825
VORM-W,VORM-W - 2GTHR  Structures,Standup M-Set Structure Manufacturing Material Efficiency I,Standup M-Set Structure Manufacturing Time Efficiency I,,Raitaru,30000322,1035810000000,0.0005,35825
WBR5-R,WBR5-R - Structure,Standup L-Set Structure Manufacturing Efficiency II,,,Azbel,30000238,1035660000000,0.0005,35826
Y-ZXIO,Y-ZXIO - Cap parts,Standup M-Set Advanced Component Manufacturing Material Efficiency II,Standup M-Set Basic Capital Component Manufacturing Material Efficiency II,Standup M-Set Basic Capital Component Manufacturing Time Efficiency I,Raitaru,30000306,1043000000000,0.01,35825
Y-ZXIO,Y-ZXIO - Ships Production,Standup XL-Set Ship Manufacturing Efficiency I,,,Sotiyo,30000306,1039390000000,0.01,35827
Y-ZXIO,Y-ZXIO - HVC Refiney,Standup L-Set Reactor Efficiency I,,,Tatara,30000306,1038640000000,0.01,35836
ZA0L,ZA0L-U - Cap parts,Standup M-Set Advanced Component Manufacturing Material Efficiency II,Standup M-Set Basic Capital Component Manufacturing Material Efficiency II,Standup M-Set Basic Capital Component Manufacturing Time Efficiency I,Raitaru,30000306,1039390000000,0.0005,35825
N-HSK0,N-HSK0 - Advanced Large Ship,Standup M-Set Advanced Large Ship Manufacturing Material Efficiency II,Standup M-Set Advanced Large Ship Manufacturing Time Efficiency II,,Raitaru,30000215,1047148664386,0.0005,35825
N-HSK0,N-HSK0 - T2 Advanced Components,Standup M-Set Advanced Component Manufacturing Time Efficiency II,Standup M-Set Advanced Component Manufacturing Material Efficiency II,,Raitaru,30000215,1044618339469,0.0005,35825
N-HSK0,N-HSK0 - T2 Structures and Fuel Block,Standup M-Set Structure Manufacturing Material Efficiency II,Standup M-Set Structure Manufacturing Time Efficiency II,,Raitaru,30000215,1046130974708,0.0005,35825
C-J7CR,C-J7CR - New Super No Cap (Fraternity Building Management),Standup XL-Set Ship Manufacturing Efficiency I,,,Sotiyo,30000273,1046452498926,0.0005,35827
